Status-ID,Kategorie,Linie,Fahrtnummer,"Abfahrtsstation Name","Abfahrtsstation Koordinaten","Abfahrt geplant","Abfahrt real","Zielstation Name","Zielstation Koordinaten","Ankunft geplant","Ankunft real",Reisezeit,Distanz,Punkte,Status-Nachricht,Fahrtzweck,Betreiber
4038850,bus,"Bus 694",265,"Plantagenstr., Potsdam","52.392396,13.103279",2024-12-22T08:55:00+00:00,2024-12-22T08:56:00+00:00,"Griebnitzsee Bahnhof (S), Potsdam","52.39387,13.128746",2024-12-22T09:02:00+00:00,2024-12-22T09:03:00+00:00,7,1778,3,,PRIVATE,
4038868,suburban,"S 7",7079,"Potsdam Griebnitzsee (S)","52.394392,13.128638",2024-12-22T09:07:00+00:00,2024-12-22T09:07:00+00:00,"Berlin Hbf","52.524924,13.369629",2024-12-22T09:38:00+00:00,2024-12-22T09:38:00+00:00,31,23843,6,,PRIVATE,"S-Bahn Berlin GmbH"
4039083,nationalExpress,"ICE 640",640,"Berlin Hbf","52.524924,13.369629",2024-12-22T09:46:00+00:00,2024-12-22T09:48:00+00:00,"Hannover Hbf","52.377079,9.741763",2024-12-22T11:28:00+00:00,2024-12-22T11:28:00+00:00,100,256112,36,"402 😭😭😭",PRIVATE,"DB Fernverkehr"
4039993,nationalExpress,"ICE 577",577,"Hannover Hbf","52.377079,9.741763",2024-12-22T11:41:00+00:00,2024-12-22T12:04:00+00:00,"Mannheim Hbf","49.479181,8.469268",2024-12-22T14:56:00+00:00,2024-12-22T15:13:00+00:00,189,422865,53,"Neue Riedbahn angucken :blob_rainbowheart:",PRIVATE,"DB Fernverkehr"
4045234,regional,"RE 4",4472,"Speyer Hbf","49.324171,8.427926",2024-12-23T09:47:00+00:00,2024-12-23T09:50:00+00:00,Frankfurt-Höchst,"50.102754,8.542449",2024-12-23T11:14:00+00:00,2024-12-23T11:14:00+00:00,84,118934,18,"SÜWEX :blob_rainbowheart: 
(das S steht für Sardinenbüchse, der Zug ist wie üblich komplett überbesetzt)",PRIVATE,"DB Regio Mitte"
4045972,regional,"RB 22",15258,Frankfurt-Höchst,"50.102754,8.542449",2024-12-23T11:39:00+00:00,2024-12-23T11:45:00+00:00,Limburg(Lahn),"50.38435,8.062533",2024-12-23T12:41:00+00:00,2024-12-23T12:41:00+00:00,56,60542,13,"Zwei Minuten vor Abfahrt Gleiswechsel von 10 auf 3 auch sportlich",PRIVATE,"DB Regio Mitte"
4049109,regional,"RB 22",15277,Limburg(Lahn),"50.38435,8.062533",2024-12-23T17:19:00+00:00,2024-12-23T17:19:00+00:00,Niedernhausen(Taunus),"50.159988,8.312388",2024-12-23T17:58:00+00:00,2024-12-23T18:00:00+00:00,41,37787,10,,PRIVATE,"DB Regio Mitte"
4049143,regional,"HLB RB21",25665,Niedernhausen(Taunus),"50.159988,8.312388",2024-12-23T18:05:00+00:00,2024-12-23T18:05:00+00:00,"Wiesbaden Hbf","50.070788,8.243728",2024-12-23T18:28:00+00:00,2024-12-23T18:28:00+00:00,23,19705,8,"Meine erste Fahrt mit der hässlichen Landesbahn 👀",PRIVATE,"HLB Hessenbahn GmbH"
4049321,regional,"HLB RB75",28731,"Wiesbaden Hbf","50.070788,8.243728",2024-12-23T18:36:00+00:00,2024-12-23T18:37:00+00:00,"Mainz Hbf","50.001239,8.258453",2024-12-23T18:48:00+00:00,2024-12-23T18:48:00+00:00,11,9491,7,"Dann hätten wir dieses Wiesbaden auch mal gesehen 👀 (aber kein @_Hemmschuh in Sicht)",PRIVATE,"HLB Hessenbahn GmbH"
4049901,regional,"RE 4",4485,"Mainz Hbf","50.001239,8.258453",2024-12-23T19:13:00+00:00,2024-12-23T19:13:00+00:00,"Speyer Hbf","49.324171,8.427926",2024-12-23T20:12:00+00:00,2024-12-23T20:32:00+00:00,79,87503,15,,PRIVATE,"DB Regio Mitte"
4059492,nationalExpress,"ICE 578",578,"Mannheim Hbf","49.479181,8.469268",2024-12-26T11:03:00+00:00,2024-12-26T11:04:00+00:00,"Hamburg Hbf","53.553533,10.00636",2024-12-26T16:13:00+00:00,2024-12-26T16:23:00+00:00,319,601252,71,"Das Chaos ruft",PRIVATE,"DB Fernverkehr"
4061843,suburban,"S 2",42180,"Hamburg Hbf","53.553533,10.00636",2024-12-26T16:58:00+00:00,2024-12-26T16:58:00+00:00,Hamburg-Sternschanze,"53.563762,9.965846",2024-12-26T17:03:00+00:00,2024-12-26T17:03:00+00:00,5,3332,4,"Wegen Feuerwehreinsatz ohne Halt in Dammtor 🫠",PRIVATE,"S-Bahn Hamburg GmbH"
4063051,subway,"U 1",3768,"Stephansplatz (Oper/CCH), Hamburg","53.558549,9.989317",2024-12-26T21:52:00+00:00,2024-12-26T21:52:00+00:00,"Kellinghusenstraße, Hamburg","53.588968,9.991151",2024-12-26T21:58:00+00:00,2024-12-26T21:58:00+00:00,6,3744,3,,PRIVATE,
4063062,subway,"U 3",16481,"Kellinghusenstraße, Hamburg","53.588968,9.991151",2024-12-26T21:58:00+00:00,2024-12-26T21:58:00+00:00,"Borgweg (Stadtpark), Hamburg","53.590766,10.014603",2024-12-26T22:01:00+00:00,2024-12-26T22:01:00+00:00,3,1568,3,,PRIVATE,
4065379,subway,"U 3",18478,"Borgweg (Stadtpark), Hamburg","53.590766,10.014603",2024-12-27T10:16:00+00:00,2024-12-27T10:16:00+00:00,"Kellinghusenstraße, Hamburg","53.588968,9.991151",2024-12-27T10:19:00+00:00,2024-12-27T10:19:00+00:00,3,1568,3,,PRIVATE,
4065453,subway,"U 1",6184,"Kellinghusenstraße, Hamburg","53.588968,9.991151",2024-12-27T10:19:00+00:00,2024-12-27T10:19:00+00:00,"Stephansplatz (Oper/CCH), Hamburg","53.558549,9.989317",2024-12-27T10:25:00+00:00,2024-12-27T10:25:00+00:00,6,3744,3,,PRIVATE,
4070989,subway,"U 1",6560,"Stephansplatz (Oper/CCH), Hamburg","53.558549,9.989317",2024-12-28T00:22:00+00:00,2024-12-28T00:22:00+00:00,"Kellinghusenstraße, Hamburg","53.588968,9.991151",2024-12-28T00:28:00+00:00,2024-12-28T00:28:00+00:00,6,3744,3,,PRIVATE,
4070990,subway,"U 3",19305,"Kellinghusenstraße, Hamburg","53.588968,9.991151",2024-12-28T00:28:00+00:00,2024-12-28T00:28:00+00:00,"Borgweg (Stadtpark), Hamburg","53.590766,10.014603",2024-12-28T00:31:00+00:00,2024-12-28T00:31:00+00:00,3,1568,3,,PRIVATE,
4072719,subway,"U 3",18561,"Borgweg (Stadtpark), Hamburg","53.590766,10.014603",2024-12-28T10:16:00+00:00,2024-12-28T10:16:00+00:00,"Kellinghusenstraße, Hamburg","53.588968,9.991151",2024-12-28T10:19:00+00:00,2024-12-28T10:19:00+00:00,3,1568,3,,PRIVATE,
4072721,subway,"U 1",6184,"Kellinghusenstraße, Hamburg","53.588968,9.991151",2024-12-28T10:19:00+00:00,2024-12-28T10:19:00+00:00,"Stephansplatz (Oper/CCH), Hamburg","53.558549,9.989317",2024-12-28T10:25:00+00:00,2024-12-28T10:25:00+00:00,6,3744,3,,PRIVATE,
